toi,toipfx,tfopwg_disp,pl_orbper,pl_rade,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
1058.01,1058,PC,11.1296441,12.8402271,1255.6817164,9.3781,338.831,5785.0,4.344,3.4475601
1059.01,1059,PC,9.4496506,17.0216,38.5799,9.7825,98.8783,5509.0,4.39758,0.94
106.01,106,KP,2.8493825,16.3869,2005.83,10.3157,364.411,6900.0,4.438,1.77
1060.01,1060,APC,2.0685633,3.89739,24.409,9.6652,128.491,5687.9,4.6,1.14
1061.01,1061,FP,0.540933,2.28501,,9.7345,133.171,5525.0,4.25342,1.21935
1062.01,1062,CP,4.1150576,2.30057,77.3573,9.478,82.1733,5394.0,4.50942,0.89
1063.01,1063,PC,10.0665634,2.09966,23.8187,9.0689,61.1201,5552.0,4.61783,0.79
1064.01,1064,CP,6.4438657,2.460344,60.831305,10.0059,68.0726,4803.0,4.52079,0.737189
1064.02,1064,CP,12.2265595,2.6014766,25.8970378,10.0059,68.0726,4803.0,4.52079,0.737189
1065.01,1065,KP,2.160344,22.503541,,13.2851,639.004,5780.0,4.32928,1.2
1066.01,1066,KP,4.606184,12.962219,,11.9707,353.891,5670.0,4.3925,1.07
1067.01,1067,KP,3.1316735,9.4995191,148.6544991,13.1686,263.609,4351.0,4.438,0.76701
1068.01,1068,KP,3.180362,13.446487,,13.2887,535.383,5498.0,4.47934,0.92
1069.01,1069,KP,2.9776446,14.4339,758.324,10.4293,197.996,5703.0,4.25824,1.22
107.01,107,KP,3.9502008,20.5357,1009.38,9.6433,211.211,6153.0,4.18077,1.71
1070.01,1070,FP,2.9776152,26.88423,873.27,15.7114,,5740.0,4.29219,1.28
1071.01,1071,KP,3.553814,12.539744,,11.5803,290.198,5639.0,4.37172,1.07973
1072.01,1072,FP,12.8379689,25.4886382,374.129,11.7106,703.878,5765.0,4.34773,2.4494
1073.01,1073,CP,3.9228016,13.3368705,91.167589,13.6699,300.67,4444.0,4.438,0.6983
1074.01,1074,PC,13.9428705,2.4233421,28.0927293,10.6339,107.356,5206.0,4.63095,0.741671
1075.01,1075,CP,0.6047392,1.8625587,528.0253155,11.1186,61.4592,4046.0,4.60963,0.580337
1076.01,1076,KP,2.5495611,12.9171288,757.1284067,11.2474,248.46,5659.0,4.44653,1.03997
